who is the lecturer for COMP9414?,Dr AD Blair
what is the lecturer name for COMP9414?,Dr AD Blair
when is the lecture start?,18/02/2019
When is the lecture time?,"Wed 10:00 - 13:00 (Weeks:11), Fri 10:00 - 13:00 (Weeks:1-8,10)"
what is the lecture time?,"Wed 10:00 - 13:00 (Weeks:11), Fri 10:00 - 13:00 (Weeks:1-8,10)"
Where is the lecture?,Sir John Clancy Auditorium (K-C24-G17)
where does the lecture take?,Sir John Clancy Auditorium (K-C24-G17)
How many agents or agent are there?,"5, there are reactive agent, model-based agent, planning agent, game playing agent, learning agent"
What is Single State Task Specification?,"A task is specified by states and actions. It needs to specify the state space, initial state, actions or operators, goal test and path cost."
What is completeness?,Completeness: an algorithm is complete if it terminates with a solution when one exists. Admissibility: an algorithm is admissible if it is guaranteed to return an optimal solution whenever a solution exists.
What is time complexity?,"In computer science, the time complexity is the computational complexity that describes the amount of time it takes to run an algorithm. Time complexity is commonly estimated by counting the number of elementary operations performed by the algorithm, supposing that each elementary operation takes a fixed amount of time to perform. Thus, the amount of time taken and the number of elementary operations performed by the algorithm are taken to differ by at most a constant factor."
What is space complexity?,"Space complexity is a measure of the amount of working storage an algorithm needs. That means how much memory, in the worst case, is needed at any point in the algorithm. As with time complexity, we're mostly concerned with how the space needs grow, in big-Oh terms, as the size N of the input problem grows."
What is optimality?,"In computer science, an algorithm is said to be asymptotically optimal if, roughly speaking, for large inputs it performs at worst a constant factor (independent of the input size) worse than the best possible algorithm."
How to calculate space complexity?,"For calculating the space complexity, we need to know the value of memory used by different type of datatype variables, which generally varies for different operating systems, but the method for calculating the space complexity remains the same."
How to calculate time complexity?,"The time complexity, measured in the number of comparisons, then becomes T(n) = n - 1. In general, an elementary operation must have two properties: There can't be any other operations that are performed more frequently as the size of the input grows."
What is breadth first search?,"All nodes are expanded at a given depth in the tree before any nodes at the next level are expanded. Expand root first, then all nodes generated by root, then All nodes
generated by those nodes, etc."
What is bfs?,"All nodes are expanded at a given depth in the tree before any nodes at the next level are expanded. Expand root first, then all nodes generated by root, then All nodes
generated by those nodes, etc."
What is BFS?,"All nodes are expanded at a given depth in the tree before any nodes at the next level are expanded. Expand root first, then all nodes generated by root, then All nodes
generated by those nodes, etc."
What are the properties of BFS?,It is complete. Its time complexity is O(b^d). Its space complexity is O(b^d). It is optimal.
What are the properties of breadth first search?,It is complete. Its time complexity is O(b^d). Its space complexity is O(b^d). It is optimal.
What are the properties of bfs?,It is complete. Its time complexity is O(b^d). Its space complexity is O(b^d). It is optimal.
What is the biggest problem of Breadth First Search?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is the biggest problem of BFS?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is the biggest problem of bfs?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is the main drawback of Breadth first search?,Space is the big problem for Breadth-First Search; it grows exponentially with depth!
What is the time complexity of breadth first search?,O(b^d)
What is the time complexity of BFS?,O(b^d)
What is the time complexity of bfs?,O(b^d)
What is the space complexity of breadth first search?,O(b^d)
What is the space complexity of BFS?,O(b^d)
What is the space complexity of bfs?,O(b^d)
